track,artist,album
Raf - Akustik Versiyon,Jabbar,Yineleme
Bizi Bir Ettim,Dilan Balkay,Bizi Bir Ettim
Karakış,Mert Demir,Karakış
Geçmiş Değişmez,Deeperise,Geçmiş Değişmez
Kaçar Gider,Dolu Kadehi Ters Tut,Kaçar Gider
Gel,Mert Kıyak,Gel
Yol,Fikri Karayel,Yol
Sangria,Simge Pınar,Güzel Şeyler
Rasimpaşa,Hedonutopia,Arzu Utopyası
Bad Luck,Khalid,Free Spirit
Better,Khalid,Free Spirit
Self,Khalid,Free Spirit
American Teen,Khalid,American Teen
Location,Khalid,American Teen
Saved,Khalid,American Teen
Ride,Lana Del Rey,Paradise
This Is What Makes Us Girls,Lana Del Rey,Born To Die (Deluxe Version)
Body Electric,Lana Del Rey,Paradise
The Blackest Day,Lana Del Rey,Honeymoon
Freak,Lana Del Rey,Honeymoon
God Knows I Tried,Lana Del Rey,Honeymoon
Bad Together,Dua Lipa,Dua Lipa (Deluxe)
Garden,Dua Lipa,Dua Lipa (Deluxe)
willow,Taylor Swift,evermore
champagne problems,Taylor Swift,evermore
‘tis the damn season,Taylor Swift,evermore
happiness,Taylor Swift,evermore
tolerate it,Taylor Swift,evermore
gold rush,Taylor Swift,evermore
dorothea,Taylor Swift,evermore
ivy,Taylor Swift,evermore
closure,Taylor Swift,evermore
my tears ricochet,Taylor Swift,folklore
this is me trying,Taylor Swift,folklore
all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
wish you were gay,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
my strange addiction,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Your Power,Billie Eilish,Your Power
Lost Cause,Billie Eilish,Lost Cause
Therefore I Am,Billie Eilish,Therefore I Am
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,Lo Vas A Olvidar (with ROSALÍA)
my future,Billie Eilish,my future
No Time To Die,Billie Eilish,No Time To Die
everything i wanted,Billie Eilish,everything i wanted
WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,WHEN I WAS OLDER (Music Inspired By The Film ROMA)
ocean eyes,Billie Eilish,dont smile at me
Six Feet Under,Billie Eilish,Six Feet Under
bellyache,Billie Eilish,Bellyache
hostage,Billie Eilish,dont smile at me
watch,Billie Eilish,dont smile at me
lovely (with Khalid),Billie Eilish,lovely (with Khalid)
The Way You Felt,Alec Benjamin,The Way You Felt
Water Fountain,Alec Benjamin,Narrated For You
If We Have Each Other,Alec Benjamin,Narrated For You
Annabelle's Homework,Alec Benjamin,Narrated For You
Boy In The Bubble,Alec Benjamin,Narrated For You
Death Of A Hero,Alec Benjamin,Narrated For You
1994,Alec Benjamin,Narrated For You
Mind Is A Prison,Alec Benjamin,These Two Windows
The Book of You & I,Alec Benjamin,These Two Windows
Just Like You,Alec Benjamin,These Two Windows
Let Me Down Slowly (feat. Alessia Cara),Alec Benjamin,Let Me Down Slowly (feat. Alessia Cara)
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe)
Louder than bombs,BTS,MAP OF THE SOUL : 7
Wonder,Shawn Mendes,Wonder
Easy,Camila Cabello,Romance
Used to This,Camila Cabello,Romance
This Love,Camila Cabello,Romance
Comfort Crowd,Conan Gray,Kid Krow
The Cut That Always Bleeds,Conan Gray,Kid Krow
The Story,Conan Gray,Kid Krow
Heather,Conan Gray,Kid Krow
Fight or Flight,Conan Gray,Kid Krow
we fell in love in october,girl in red,we fell in love in october / forget her
Serotonin,girl in red,if i could make it go quiet
Lookalike,Conan Gray,Sunset Season
Generation Why,Conan Gray,Sunset Season
You Stupid Bitch,girl in red,if i could make it go quiet
You're All I Want,Cigarettes After Sex,You're All I Want
Apocalypse,Cigarettes After Sex,Cigarettes After Sex
Heavenly,Cigarettes After Sex,Cry
Crush,Cigarettes After Sex,Crush
Hello,Adele,25
Inuyasha,Mahmood,Inuyasha
GBTR,Gazzelle,OK
7,Gazzelle,OK
Belva,Gazzelle,Belva
Scusa,Gazzelle,Scusa
Nei treni la notte,Frah Quintale,Lungolinea.
Sì può darsi,Frah Quintale,Sì può darsi
Le sigarette,Frah Quintale,Banzai (Lato arancio)
Appartamento (feat. Frah Quintale),Venerus,Magica Musica
Cardio,Frah Quintale,Banzai (Lato arancio)
La notte mi chiama,Frah Quintale,Banzai (Lato arancio)
Sempre bene,Frah Quintale,Banzai (Lato arancio)
Se avessi saputo,Frah Quintale,Banzai (Lato arancio)
Scheletri,Frah Quintale,Banzai (Lato arancio)
But We Lost It,P!nk,Beautiful Trauma
two queens in a king sized bed,girl in red,two queens in a king sized bed
Bound,GracieSouz,Better In Space
"Before, An Apparition",GracieSouz,Better In Space
Brian Cox,GracieSouz,Better In Space
Burial,GracieSouz,Better In Space
Fixed Indulgences,sunswan,Eclipse
Rocket to Mars,sunswan,Eclipse
Glide,sunswan,Eclipse
drivers license,Olivia Rodrigo,drivers license
Il bacio di Klimt,Emanuele Aloia,Il bacio di Klimt
VOCE,Madame,MADAME
How Low Can You Go,LP,How Low Can You Go
Muddy Waters,LP,Lost on You
I Lost a Friend,FINNEAS,Blood Harmony (Deluxe)
Lost on You,LP,Lost on You
Other People,LP,Lost on You
When We're High,LP,Lost on You (Deluxe Edition)
Recovery,LP,Heart to Mouth
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition)
Grace,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Dive,Ed Sheeran,÷ (Deluxe)
Perfect,Ed Sheeran,÷ (Deluxe)
Hearts Don't Break Around Here,Ed Sheeran,÷ (Deluxe)
Supermarket Flowers,Ed Sheeran,÷ (Deluxe)
Am Gold,Nicole Atkins,Italian Ice
Mind Eraser,Nicole Atkins,Italian Ice
Domino,Nicole Atkins,Italian Ice
Forever,Nicole Atkins,Italian Ice
Captain,Nicole Atkins,Italian Ice
Never Going Home Again,Nicole Atkins,Italian Ice
St. Dymphna,Nicole Atkins,Italian Ice
Far from Home,Nicole Atkins,Italian Ice
A Road to Nowhere,Nicole Atkins,Italian Ice
These Old Roses,Nicole Atkins,Italian Ice
In the Splinters,Nicole Atkins,Italian Ice
A Little Crazy,Nicole Atkins,Goodnight Rhonda Lee
Darkness Falls so Quiet,Nicole Atkins,Goodnight Rhonda Lee
Listen Up,Nicole Atkins,Goodnight Rhonda Lee
Goodnight Rhonda Lee,Nicole Atkins,Goodnight Rhonda Lee
If I Could,Nicole Atkins,Goodnight Rhonda Lee
Colors,Nicole Atkins,Goodnight Rhonda Lee
Brokedown Luck,Nicole Atkins,Goodnight Rhonda Lee
I Love Living Here (Even When I Don't),Nicole Atkins,Goodnight Rhonda Lee
Sleepwalking,Nicole Atkins,Goodnight Rhonda Lee
A Night of Serious Drinking,Nicole Atkins,Goodnight Rhonda Lee
A Dream Without Pain,Nicole Atkins,Goodnight Rhonda Lee
Bye Bye Blackbird,Nicole Atkins,Bye Bye Blackbird
Heroes,Scott Bradlee's Postmodern Jukebox,PMJ And Chill
Skinny Love,Birdy,Birdy
Stay,Rihanna,Unapologetic (Deluxe)
-・・ ・- -・ -・-・ ・ -- ・ - --- - ・・・・ ・ ・ -・ -・・ --- ・・-・ ・-・・ --- ・・・- ・,･ ･－･ ･－ ･･･ ･ －･･,-・・ ・- -・ -・-・ ・ -- ・ - --- - ・・・・ ・ ・ -・ -・・ --- ・・-・ ・-・・ --- ・・・- ・
Cheap Smell,Kovacs,Cheap Smell
Home,breathe.,Breathe.
Un jour,Hindi Zahra,Homeland
The City Holds My Heart,Ghostly Kisses,The City Holds My Heart
"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,City Of Stars (From La La Land Soundtrack)
Saturn Boy,Yndi,Earth. Home. Destroyed
The World I Know,Collective Soul,Collective Soul
Nafile Kelam,Ceylan Ertem,Seni Senin Gibiler Sevsin
Putlar Yaptım,Ceylan Ertem,Seni Senin Gibiler Sevsin
Anonim Sevgili,Ceylan Ertem,Seni Senin Gibiler Sevsin
Deli,Ceylan Ertem,Seni Senin Gibiler Sevsin
Mutluyum Ama Birazdan Geçer,İkiye On Kala,Eski Yeşil Araba
Nefes,Serin,Tesadüf
Tesadüf,Serin,Tesadüf
